from,to,distance
17,191,0.24923939
17,193,0.4425073
17,195,0.8232176
18,35,0.99220675
18,189,0.2487168
19,20,0.33707148
19,22,0.5873476
19,39,0.90569377
19,57,0.82568437
19,68,0.16451144
19,74,0.6341853
19,96,0.20215346
19,103,0.10262337
19,119,0.5135777
19,175,0.36151624
20,22,0.9064865
20,32,0.7893118
20,39,0.41091526
20,57,0.32096645
20,74,0.18298057
20,96,0.5579053
20,119,0.12406063
20,127,0.18479535
20,155,0.11703341
20,206,0.24107432
21,35,0.408968
21,200,0.661267
22,32,0.52750796
22,39,0.20627646
22,57,0.14917319
22,96,0.31333932
22,206,0.10348899
23,124,0.1351968
23,165,0.9907531
23,174,0.6407393
24,53,0.52339804
24,58,0.16415252
24,62,0.3619396
24,95,0.14825173
24,114,0.13111477
24,125,0.2927679
24,168,0.72550863
24,169,0.9330189
24,171,0.2557725
24,173,0.3382695
25,56,0.10506626
25,120,0.92026347
25,123,0.10169205
25,129,0.30033273
25,139,0.7934
25,147,0.13546337
27,28,0.2617325
27,78,0.3560349
27,79,0.92069405
27,107,0.14401749
27,183,0.11055653
28,79,0.10724383
28,85,0.38217723
28,107,0.6948786
28,108,0.22595297
28,132,0.13417847
28,153,0.34418362
28,179,0.31026578
28,201,0.25632763
29,30,0.17069933
29,38,0.36491054
29,48,0.72522235
29,166,0.3896956
29,196,0.40621892
30,64,0.4924126
30,65,0.59776336
31,83,0.36954674
31,99,0.32107234
31,122,0.20403858
32,39,0.24600193
32,57,0.18108684
32,94,0.29599246
32,96,0.92592084
32,97,0.27497354
32,127,0.5164346
32,154,0.105714664
32,155,0.38412294
32,159,0.23680466
32,163,0.14347525
32,206,0.6072549
33,91,0.33813322
33,93,0.74688095
33,136,0.43268704
33,138,0.5559929
33,144,0.9815587
33,166,0.19336772
33,196,0.2042975
34,151,0.18427558
34,182,0.121024266
34,186,0.66596955
35,66,0.10307953
35,126,0.12180193
35,189,0.30404207
36,67,0.9210419
36,115,0.72684366
36,117,0.106897034
36,140,0.2485579
36,142,0.14847374
36,145,0.2538358
36,199,0.26128712
37,42,0.70867765
37,54,0.99314165
37,95,0.3977259
37,111,0.8456244
37,125,0.6238118
37,168,0.10305547
37,169,0.2344807
38,91,0.29171434
38,93,0.62397754
38,136,0.49266925
38,138,0.6529964
38,144,0.10764118
38,166,0.2552644
38,192,0.15384375
38,196,0.26839763
39,57,0.98500246
39,68,0.2870761
39,71,0.16130196
39,74,0.8783738
39,98,0.15303093
39,103,0.23680466
39,119,0.7776021
39,175,0.617841
40,67,0.16550559
40,68,0.28418118
40,70,0.95832896
40,71,0.28371274
40,72,0.47334808
40,98,0.1511251
40,102,0.6454678
40,103,0.47154352
40,113,0.10716942
40,118,0.40344834
40,190,0.6197653
40,205,0.17143813
41,43,0.80295986
41,76,0.30935735
41,77,0.21537465
41,81,0.1457942
41,82,0.55184174
41,89,0.14712943
41,104,0.35391018
41,130,0.9302564
41,146,0.13362016
42,53,0.26112327
42,58,0.22001328
42,62,0.15633418
42,95,0.20039834
42,114,0.17900704
42,125,0.37186155
42,168,0.4284661
42,169,0.6830007
42,173,0.14273408
43,76,0.68534917
43,81,0.4296267
43,82,0.9125334
43,158,0.16576336
44,85,0.13686201
44,108,0.11659626
44,132,0.2220728
44,152,0.7484098
44,178,0.5456243
44,179,0.18299904
44,201,0.27004436
45,203,0.58913827
46,50,0.11027748
46,189,0.1086898
47,52,0.3598814
47,60,0.6732219
47,63,0.68420786
47,75,0.8646472
47,81,0.20413813
47,137,0.6194335
47,164,0.17186135
48,91,0.2234035
48,93,0.28265426
48,136,0.2203067
48,138,0.30473575
48,166,0.46243024
48,196,0.4801114
49,129,0.6990914
49,139,0.105997
49,147,0.43256447
50,200,0.5652337
51,112,0.65484333
52,69,0.17398863
52,73,0.6726647
52,141,0.4021405
52,164,0.9049204
53,58,0.37034613
53,62,0.64642614
53,95,0.3432766
53,112,0.13855757
53,114,0.31297383
53,125,0.5606107
53,168,0.31509233
53,169,0.47106907
54,95,0.4632162
54,111,0.89886564
54,125,0.694327
54,168,0.13143322
54,169,0.2843785
55,79,0.11060736
55,85,0.38998845
55,92,0.35446864
55,106,0.8892832
55,108,0.70674556
55,110,0.26023433
55,132,0.5384356
55,171,0.11253804
55,179,0.57316947
56,101,0.25867188
56,133,0.13831656
56,170,0.5892709
57,68,0.37214786
57,71,0.21556057
57,98,0.2111079
57,103,0.30597112
57,175,0.7126952
57,190,0.10221659
57,205,0.12417163
58,114,0.99343807
58,116,0.2140762
58,142,0.32569885
58,143,0.6161821
59,88,0.13605721
59,151,0.2622252
59,182,0.110049576
59,185,0.79851985
60,63,0.16468255
60,81,0.6711236
60,82,0.15165631
60,131,0.20055568
60,137,0.1623836
60,146,0.148696
60,158,0.32995874
61,72,0.9313174
61,113,0.44780675
61,141,0.25211442
62,114,0.8352947
62,142,0.13997996
62,143,0.33977017
63,81,0.66008204
63,82,0.14632723
63,131,0.19403985
63,137,0.15676305
63,146,0.14342885
63,158,0.32101935
64,101,0.10578826
64,134,0.2392985
66,105,0.3735808
67,115,0.48419055
67,140,0.11635838
67,145,0.119439885
67,199,0.12382506
68,71,0.10145431
68,96,0.10008398
68,98,0.9380454
68,103,0.21341875
68,175,0.47836208
69,75,0.6523035
69,137,0.39456946
70,71,0.14034486
70,98,0.2554029
70,102,0.81274873
70,103,0.646294
70,175,0.14321242
71,72,0.82065445
71,113,0.31540683
71,141,0.16089761
71,156,0.22706369
71,190,0.9289932
71,205,0.9586345
72,113,0.672763
72,141,0.43923452
73,102,0.11569949
73,113,0.12580355
73,118,0.16980529
73,190,0.29266742
74,98,0.24353008
74,103,0.49379236
74,119,0.98019826
74,175,0.89458144
74,190,0.20340228
74,205,0.23914354
75,81,0.46164483
75,131,0.10068466
75,158,0.18421999
76,137,0.40920746
77,81,0.11828542
77,82,0.49013707
77,130,0.8894481
77,146,0.85274476
77,172,0.1826855
77,197,0.10130003
77,204,0.1140908
78,123,0.51341546
78,129,0.32308856
78,135,0.17466617
78,147,0.14887083
78,177,0.20493571
78,183,0.80348355
79,177,0.1844611
79,183,0.23892221
80,128,0.15666401
80,154,0.23998563
80,157,0.38659826
80,160,0.2742971
80,161,0.7521133
80,162,0.5460187
80,187,0.16931583
80,188,0.8918872
80,191,0.14352168
80,193,0.28682795
80,195,0.9708009
80,198,0.11563375
81,82,0.57677746
81,89,0.19742508
81,104,0.4023484
81,130,0.115883686
81,131,0.66731644
81,146,0.57065517
81,158,0.83726496
82,131,0.20826855
82,137,0.20709988
82,146,0.15493785
82,158,0.34045354
83,122,0.8469621
83,156,0.26210785
83,176,0.535814
84,130,0.79378384
84,146,0.74918896
84,172,0.12496466
85,107,0.20401871
86,87,0.36536434
86,100,0.21009082
86,180,0.75632906
86,181,0.26434353
87,100,0.94147116
87,130,0.1362506
87,148,0.74340934
87,180,0.47960237
87,181,0.11115448
87,197,0.39351013
87,204,0.32300892
88,89,0.556949
88,130,0.45094812
88,146,0.40615925
89,151,0.56107277
89,186,0.36792222
90,99,0.14431249
90,122,0.1420572
91,93,0.7873483
91,136,0.8401774
91,138,0.5602147
91,144,0.11491259
91,166,0.19583379
91,192,0.17080475
91,196,0.20685865
93,136,0.42104477
93,138,0.2466337
93,166,0.11820519
93,174,0.1791706
93,196,0.12585966
94,96,0.119588144
94,119,0.36114946
94,175,0.23603567
95,120,0.6601808
95,139,0.13549301
96,97,0.47829852
96,127,0.7507455
96,128,0.14549695
96,154,0.22488837
96,155,0.612034
96,159,0.42678857
96,160,0.15649906
96,163,0.28784597
96,198,0.10678577
96,206,0.8320478
97,127,0.4174753
97,155,0.29827216
97,159,0.1742024
97,163,0.100696445
97,206,0.50380397
99,149,0.52170396
100,130,0.25438812
100,148,0.9124479
100,197,0.59212327
101,123,0.18917973
101,133,0.9423982
101,135,0.35513937
101,170,0.30229926
102,103,0.9587259
102,118,0.106427774
102,175,0.41434017
102,190,0.22721347
102,205,0.26557237
103,175,0.28951442
104,151,0.28176996
104,186,0.15508527
105,106,0.675744
105,108,0.46696347
105,110,0.124393895
105,132,0.31806123
105,179,0.34649846
106,108,0.94102305
106,132,0.82093674
107,110,0.238215
107,171,0.11796478
107,201,0.72798693
108,132,0.9616901
109,112,0.18255655
109,114,0.3793108
109,125,0.1187274
109,168,0.14654712
109,169,0.30972052
110,125,0.114899494
110,167,0.77403283
110,168,0.36533597
110,169,0.12543952
110,171,0.41061538
110,173,0.513091
111,114,0.108940594
111,125,0.25323817
111,168,0.29951775
111,169,0.5316903
112,194,0.20270789
113,141,0.924944
113,164,0.37893522
114,116,0.2601409
114,142,0.38423923
114,143,0.68531656
115,116,0.24742484
115,142,0.513675
115,145,0.69257367
116,117,0.2674459
116,140,0.74610007
116,199,0.76320136
117,118,0.5225834
117,156,0.10945619
117,190,0.5216389
119,175,0.96369463
119,190,0.2849218
119,205,0.32880372
120,129,0.14684595
120,139,0.5532908
122,156,0.570126
122,176,0.86398315
122,190,0.1662971
123,177,0.82220507
124,134,0.13994959
124,165,0.21241459
124,166,0.1345173
124,196,0.1429654
127,128,0.47078446
127,154,0.611669
127,155,0.97205514
127,157,0.109191865
127,159,0.85862637
127,160,0.5025132
127,162,0.1888022
127,163,0.71134645
127,187,0.3498194
127,198,0.38633582
128,154,0.15188208
128,155,0.5045788
128,159,0.3326535
128,160,0.10916674
128,163,0.21366514
128,198,0.98856187
128,206,0.55767447
129,139,0.4450146
129,147,0.90432197
131,146,0.9873159
131,172,0.35497165
131,197,0.22188312
131,204,0.24426992
133,135,0.5494718
133,177,0.10885276
133,183,0.11086158
134,135,0.17489836
134,170,0.14214933
135,177,0.599489
135,183,0.6047326
136,138,0.1486801
136,144,0.32955557
136,192,0.43526444
137,141,0.1976392
137,164,0.66820306
138,165,0.10772827
138,166,0.766511
138,196,0.78346497
139,147,0.16624542
139,177,0.11412984
139,183,0.11621316
140,190,0.14930058
140,199,0.9995439
141,164,0.6076532
142,143,0.35516736
142,169,0.12037233
143,145,0.2617559
143,199,0.32128426
144,166,0.123603635
144,196,0.13152021
146,148,0.11937253
146,172,0.4410859
146,197,0.28909048
146,204,0.3153806
148,197,0.8374015
150,180,0.1714734
150,197,0.12701343
153,203,0.1995149
154,155,0.7900839
154,159,0.80696386
154,160,0.44306403
154,162,0.15565953
154,163,0.65002626
154,187,0.29979774
154,198,0.9276414
154,206,0.42028746
155,157,0.17520241
155,159,0.9519022
155,160,0.64589745
155,162,0.283491
155,163,0.8416402
155,187,0.4802069
155,188,0.13535966
155,193,0.10185873
155,198,0.5215411
155,206,0.117338784
156,176,0.17157914
157,159,0.62729317
157,160,0.28393456
157,163,0.46415985
157,187,0.1763143
157,198,0.7835548
157,206,0.26595107
158,172,0.21905096
158,197,0.12517399
158,204,0.14016232
159,160,0.8237231
159,161,0.14529386
159,162,0.41593656
159,163,0.96290183
159,187,0.6675792
159,188,0.24069622
159,193,0.18906644
160,161,0.38656905
160,162,0.22625163
160,187,0.9625824
160,188,0.5447042
160,191,0.28145102
160,193,0.48537165
160,195,0.13984336
161,162,0.9421493
161,163,0.17638619
161,187,0.5282263
161,188,0.15875387
161,193,0.12080661
161,198,0.4171734
162,163,0.31614146
162,187,0.10093279
162,198,0.6204619
162,206,0.16257006
163,187,0.82310516
163,188,0.3686628
163,191,0.15226969
163,193,0.3007408
163,198,0.1448103
164,190,0.142134
165,174,0.5581692
166,196,0.2694709
167,168,0.19494502
167,169,0.31716624
168,171,0.696727
168,173,0.79834396
168,179,0.18279609
168,202,0.2192808
169,171,0.44040674
169,173,0.54506564
170,196,0.16014157
171,179,0.6105075
171,202,0.67181236
172,180,0.5492415
172,181,0.1412144
173,179,0.5029648
173,202,0.5636151
175,190,0.3906036
175,205,0.44188908
176,190,0.40018228
178,179,0.7592938
178,201,0.87477934
179,203,0.10252758
180,181,0.6766605
183,184,0.17947988
185,186,0.14142857
187,188,0.71092874
187,191,0.4205903
187,192,0.10225244
187,193,0.6512476
187,195,0.23282376
188,198,0.27856624
191,192,0.71487623
191,195,0.16929835
192,193,0.2760629
192,195,0.56691897
193,195,0.3240461
195,198,0.18613672
197,204,0.10362172
198,206,0.649498
201,202,0.12069793
