from,to,distance
33,108,0.9104465
33,123,0.98463464
33,127,0.80550003
33,228,0.43900487
33,238,0.21478894
34,128,0.3837543
34,141,0.28175384
34,145,0.16212843
34,235,0.15257902
34,236,0.2569681
34,237,0.9936039
34,312,0.4636865
35,71,0.39975923
35,129,0.96726227
35,143,0.6361559
36,40,0.424665
36,54,0.68586385
36,107,0.13717118
36,186,0.50048226
36,218,0.29299256
36,246,0.72661424
37,78,0.99998397
37,193,0.8487438
37,314,0.5085047
37,315,0.17319117
37,316,0.10901412
37,317,0.17481825
37,318,0.11015739
38,134,0.14309599
38,200,0.82329226
38,201,0.34500435
38,203,0.44451952
38,205,0.62984216
38,208,0.9457391
38,210,0.9659435
38,254,0.104836956
40,55,0.18960212
40,107,0.79046607
40,186,0.99129575
40,187,0.4145984
40,188,0.24156833
40,218,0.967233
40,219,0.3908811
40,220,0.6371958
40,222,0.46056873
41,97,0.99496937
41,99,0.23058514
41,102,0.8667411
41,149,0.24580723
41,164,0.45591724
41,313,0.6173426
42,59,0.9999871
42,78,0.26084208
42,87,0.96603286
42,116,0.8572735
42,125,0.36889613
42,136,0.5637251
42,243,0.69755596
42,244,0.7005599
43,88,0.8766961
43,184,0.115150236
43,185,0.11389295
44,66,0.7644006
44,74,0.27767262
44,83,0.32977417
44,95,0.7273399
44,104,0.21134947
45,80,0.5213433
45,93,0.99105865
45,146,0.4408328
45,248,0.10563079
45,251,0.87516385
46,115,0.83939487
47,255,0.99950325
48,60,0.75112915
48,128,0.36235207
48,141,0.23679563
48,145,0.13178396
48,147,0.79262257
48,235,0.12360867
48,236,0.21467116
48,311,0.5694817
49,64,0.20631078
49,120,0.99621636
49,138,0.4833848
49,320,0.34065416
50,115,0.17404146
51,55,0.15909283
51,84,0.5120192
51,109,0.48614213
51,122,0.8426235
51,219,0.34223795
51,221,0.7411588
51,223,0.94591177
52,67,0.47120792
52,69,0.75697213
52,94,0.373694
52,98,0.9787802
52,112,0.62468314
52,238,0.14257859
53,97,0.82069874
53,102,0.5683487
53,160,0.30332002
53,164,0.20454037
53,313,0.31961566
54,107,0.5311964
54,186,0.9536249
54,187,0.21024516
54,188,0.104654424
54,218,0.7835295
54,219,0.19445324
54,220,0.3813926
54,222,0.24209355
54,246,0.9976071
55,82,0.5140337
55,121,0.8837643
55,131,0.26449957
55,186,0.15464644
55,219,0.9024921
56,126,0.99339116
56,175,0.14020795
56,215,0.54542494
57,90,0.7822671
57,111,0.94166106
57,132,0.2258043
57,137,0.9000199
57,174,0.9983905
57,177,0.9264697
57,211,0.7828451
57,213,0.949634
57,214,0.64099914
57,253,0.120199256
58,70,0.34096667
59,78,0.26301932
59,87,0.96730125
59,116,0.8596819
59,125,0.37154645
59,136,0.5667677
59,243,0.7005368
59,244,0.7035356
60,147,0.35542792
60,311,0.1916629
61,76,0.88374716
61,84,0.1650835
61,103,0.7903814
61,109,0.15171397
61,122,0.41414717
61,221,0.3173948
61,223,0.56047267
61,249,0.97866917
62,237,0.49194592
63,150,0.40682906
63,165,0.31039518
63,166,0.2869859
63,167,0.11743072
63,191,0.19102404
63,230,0.12509647
64,93,0.2503215
64,138,0.8495974
64,251,0.123115756
65,87,0.62274194
65,116,0.4491056
65,125,0.10510685
65,136,0.20472553
65,152,0.9920373
65,161,0.9913622
65,162,0.87795854
65,163,0.8802422
65,242,0.93097556
65,243,0.29659232
65,244,0.2989461
65,256,0.93287563
66,98,0.15021174
66,104,0.5882777
67,94,0.98454654
67,129,0.15936705
67,238,0.7564645
68,72,0.68684083
68,97,0.45616284
68,102,0.24086913
68,151,0.9527139
68,158,0.6231681
68,170,0.48454636
68,171,0.48160988
68,190,0.16370453
68,191,0.29141694
68,202,0.27703065
68,204,0.15946254
68,226,0.7582731
68,227,0.74759346
68,254,0.40892023
68,313,0.1024491
69,94,0.8055414
69,112,0.97526044
69,238,0.47032753
70,172,0.26275074
71,129,0.54840577
71,143,0.9219841
71,239,0.35456982
71,286,0.19249435
71,290,0.16238229
71,298,0.23830603
72,97,0.92806035
72,99,0.13562903
72,102,0.71403366
72,149,0.14615111
72,158,0.15604004
72,160,0.42820996
72,164,0.3058334
72,191,0.1632791
72,313,0.44748628
73,99,0.48650712
73,102,0.999753
73,149,0.5087126
73,164,0.7600563
73,237,0.11430153
73,313,0.89559066
74,83,0.9938262
74,155,0.3145469
74,159,0.32105064
74,255,0.22884598
75,195,0.35381222
75,299,0.97990566
75,300,0.8753227
75,302,0.790339
75,303,0.51123255
75,304,0.2474838
75,305,0.9173682
75,307,0.14384697
76,84,0.37484187
76,103,0.98233634
76,109,0.35208115
76,122,0.70823056
76,219,0.23244156
76,221,0.59571296
76,223,0.84571373
76,249,0.958961
78,193,0.85150677
78,314,0.51188034
78,315,0.17503516
78,316,0.11032016
78,317,0.17668743
78,318,0.111473985
79,120,0.6584632
79,138,0.12718202
80,146,0.9904414
80,300,0.1262764
80,305,0.15421504
81,108,0.15879512
81,123,0.25162566
81,127,0.100650534
81,240,0.6576165
82,121,0.8061206
82,126,0.26678056
82,151,0.17043248
82,217,0.4456256
83,155,0.26391026
83,159,0.26977262
83,255,0.18785188
84,109,0.99903136
84,121,0.4539099
84,219,0.9536364
85,114,0.9701807
85,144,0.8095223
86,100,0.976789
86,228,0.67120475
86,237,0.1002047
87,116,0.95825326
87,125,0.51605
87,136,0.7210675
87,193,0.15107045
87,243,0.8418523
87,244,0.8443537
88,136,0.16185077
88,243,0.24120268
88,244,0.24327417
89,110,0.53643
89,130,0.4407005
89,150,0.973913
89,165,0.91620374
89,166,0.8959355
89,168,0.37215945
89,181,0.16164574
89,230,0.65031797
89,321,0.139536
89,322,0.28911626
89,323,0.17778215
90,111,0.57772654
90,118,0.15622808
90,124,0.10540347
90,132,0.591758
90,137,0.9711889
90,174,0.8127001
90,177,0.5511072
90,211,0.37502652
90,213,0.5930131
90,214,0.9710695
90,216,0.28633094
90,253,0.3978792
91,113,0.82094055
91,173,0.23607416
91,252,0.42527303
93,146,0.5179291
93,221,0.1024491
93,248,0.13875878
93,251,0.929483
94,129,0.2198915
94,238,0.84954053
96,101,0.7519279
96,106,0.9786374
96,108,0.7449394
96,127,0.862991
97,99,0.27230453
97,102,0.90981394
97,149,0.28920525
97,160,0.12314532
97,164,0.5142422
97,313,0.67765856
98,112,0.7474598
98,238,0.21002765
99,149,0.99928826
100,228,0.7955085
100,237,0.1557465
101,106,0.86088026
101,108,0.31376255
101,127,0.43067467
102,149,0.52159905
102,164,0.7722014
102,237,0.11957224
102,313,0.90457475
103,109,0.4543334
103,122,0.8138235
103,219,0.31523877
103,221,0.7091724
103,223,0.92670995
103,249,0.8919338
104,112,0.24505189
105,124,0.94928765
105,186,0.26805308
105,218,0.1318461
105,246,0.45913568
106,108,0.62155807
106,127,0.7544533
107,187,0.81386435
107,188,0.606279
107,189,0.16176632
107,220,0.9656948
107,222,0.8548498
107,224,0.11353172
107,247,0.29122034
108,127,0.9751067
109,121,0.47926924
109,219,0.9657147
110,130,0.9866313
110,142,0.19338302
110,168,0.9587438
110,181,0.7299671
110,257,0.1783248
110,321,0.68553805
110,322,0.8997454
110,323,0.75884587
110,324,0.34455228
111,132,0.116909385
111,137,0.7228204
111,174,0.92182434
111,177,0.99902797
111,211,0.9395913
111,213,0.99968165
111,214,0.43524846
112,238,0.6038387
113,173,0.5635365
113,252,0.79384583
114,144,0.9216208
116,125,0.6919275
116,136,0.87504023
116,193,0.25541556
116,243,0.9575068
116,244,0.95892847
117,155,0.9605832
117,159,0.9641843
117,255,0.87977296
118,124,0.9810914
118,186,0.10136019
118,216,0.9421194
118,246,0.2107387
119,195,0.11330063
119,299,0.6986194
119,300,0.5093827
119,302,0.4121301
119,303,0.19652282
119,305,0.5696941
119,309,0.9319627
120,138,0.5348635
120,274,0.10642922
120,320,0.38562378
121,217,0.15591083
122,219,0.67943263
122,221,0.9823436
122,223,0.96881396
122,248,0.10241496
123,127,0.8903796
124,186,0.15076095
124,246,0.29141694
125,193,0.72917503
125,314,0.38319433
125,315,0.111483134
125,317,0.11265546
126,175,0.17499684
126,215,0.6150687
128,160,0.17628933
129,143,0.78647393
130,142,0.25688532
130,168,0.9920666
130,181,0.82033587
130,257,0.23860575
130,321,0.7800366
130,322,0.9572529
130,323,0.845752
130,324,0.43194202
132,216,0.8550555
132,253,0.94597334
133,135,0.66668236
133,250,0.85951567
133,251,0.13277131
134,151,0.83696306
134,158,0.45330834
134,170,0.32996607
134,171,0.32749513
134,191,0.17873912
134,201,0.8766961
134,202,0.16837497
134,226,0.58877486
134,227,0.5773719
134,254,0.9883147
136,193,0.5246464
136,314,0.22543924
137,174,0.92228866
137,177,0.69690824
137,211,0.51102436
137,213,0.73743266
137,214,0.88942254
137,216,0.18971017
137,253,0.27828076
139,140,0.99999607
139,152,0.8389678
139,161,0.8365923
139,162,0.6211555
139,163,0.624257
139,241,0.9605726
139,242,0.7004214
139,243,0.12875317
139,244,0.13008223
139,245,0.96022063
139,256,0.7036278
140,152,0.8375674
140,161,0.835165
140,162,0.6194268
140,163,0.62255245
140,241,0.9598028
140,242,0.6987581
140,243,0.12802154
140,244,0.12934484
140,245,0.9594476
140,256,0.7019446
141,142,0.11613549
141,145,0.9513379
141,169,0.31411725
141,182,0.59422094
141,191,0.12989755
141,193,0.17594315
141,196,0.63996005
141,229,0.13597888
141,231,0.17930984
141,232,0.3022961
141,233,0.44164854
141,234,0.5903847
141,235,0.9414313
141,236,0.9983861
141,257,0.1058584
141,324,0.2269933
142,149,0.59730005
142,237,0.16953245
142,257,0.9990245
142,310,0.8635396
142,324,0.9396043
143,239,0.18297216
143,298,0.11101861
144,240,0.17494582
145,167,0.10164005
145,169,0.48327094
145,182,0.78027284
145,190,0.12567544
145,191,0.23393376
145,193,0.30160245
145,196,0.82051736
145,229,0.24313033
145,231,0.30638543
145,232,0.46874875
145,233,0.6292034
145,234,0.77678674
145,235,0.999502
145,236,0.9670083
145,257,0.19668901
145,314,0.10158908
145,324,0.3720368
146,300,0.16580677
146,302,0.11841174
146,305,0.19966972
147,182,0.12604573
147,196,0.14655462
147,234,0.12444017
147,235,0.3945516
147,236,0.5621929
147,311,0.9303001
148,150,0.7003752
148,165,0.5868575
148,166,0.5563753
148,168,0.12998982
148,230,0.30467612
148,265,0.9160689
148,266,0.962871
148,267,0.95802337
148,269,0.5083892
148,270,0.46068075
148,271,0.25455928
148,272,0.16842465
150,165,0.9823146
150,166,0.9717641
150,168,0.50050527
150,181,0.2439939
150,230,0.7836791
150,321,0.21430364
150,322,0.40423247
150,323,0.26525852
151,160,0.17792419
151,164,0.11139195
151,191,0.13139053
151,226,0.9104465
151,227,0.90289104
151,313,0.18950753
152,161,0.9999863
152,162,0.92901015
152,163,0.93082416
152,242,0.9688044
152,243,0.35834983
152,244,0.36096177
152,256,0.9701154
153,154,0.99289054
153,319,0.98692685
154,319,0.9611031
155,159,0.9999087
155,255,0.8622399
157,183,0.9714452
157,224,0.94508326
158,202,0.81942755
158,204,0.63981825
158,206,0.4527293
158,207,0.28981072
159,255,0.8558398
160,202,0.45477933
160,204,0.29189983
160,206,0.16979462
160,226,0.17522673
160,227,0.16914599
160,254,0.6123444
161,162,0.9308517
161,163,0.93265814
161,242,0.97005934
161,243,0.36104232
161,244,0.3636642
161,256,0.97134465
162,163,0.9999867
162,242,0.99132645
162,243,0.57628465
162,244,0.5793815
162,256,0.9906016
163,242,0.9919833
163,243,0.5731892
163,244,0.576261
163,256,0.9912906
164,237,0.40612596
165,166,0.99872917
165,167,0.10359885
165,168,0.61367095
165,181,0.328873
165,191,0.12772773
165,230,0.87808096
165,321,0.29299256
165,322,0.5116953
165,323,0.35415098
166,167,0.11518766
166,168,0.6441862
166,181,0.35411114
166,191,0.14130768
166,230,0.89981
166,321,0.31668144
166,322,0.54174405
166,323,0.38035896
166,324,0.10856657
167,230,0.2053529
167,265,0.8062446
167,266,0.8768542
167,267,0.86876327
167,269,0.3749239
167,270,0.3331994
167,271,0.16705029
167,272,0.10457623
168,181,0.88100547
168,257,0.2929746
168,310,0.11910127
168,321,0.84571373
168,322,0.98571205
168,323,0.90252405
168,324,0.5044892
169,229,0.89286536
169,231,0.9462563
169,232,0.99968755
169,265,0.28328052
169,266,0.35222027
169,267,0.34321755
170,171,0.9999873
170,205,0.10002849
170,254,0.23244156
171,205,0.101114765
171,254,0.23443262
173,252,0.92622906
174,177,0.90468544
174,211,0.7511513
174,213,0.9309618
174,214,0.6751585
174,253,0.13487865
175,176,0.9074366
175,212,0.75150645
176,177,0.123707436
176,211,0.2217957
176,212,0.9515607
176,213,0.10709971
177,211,0.9534066
177,213,0.997599
177,214,0.41078058
178,179,0.8796164
178,225,0.71256775
178,249,0.40037274
179,223,0.23058514
179,225,0.9510793
179,249,0.6988737
180,299,0.42145678
180,300,0.26525852
180,302,0.19821727
180,305,0.31098896
180,309,0.70095235
181,257,0.5676171
181,310,0.29608676
181,321,0.99715024
181,323,0.99872524
181,324,0.80051327
182,196,0.99715614
182,229,0.6199715
182,231,0.70613796
182,232,0.8703258
182,233,0.9670963
182,234,0.9999802
182,265,0.11257274
182,266,0.15042892
182,267,0.14527972
183,224,0.8467453
184,185,0.9999863
186,187,0.3448471
186,188,0.19162206
186,218,0.92665344
186,219,0.32326677
186,220,0.5571521
186,222,0.38726825
187,188,0.93772566
187,189,0.4469765
187,220,0.9311817
187,221,0.22530249
187,222,0.99666005
187,224,0.3513462
187,247,0.64822
187,248,0.28735802
188,189,0.6606962
188,219,0.120237865
188,220,0.762604
188,221,0.3923893
188,222,0.9075772
188,224,0.55343455
188,247,0.84881973
188,248,0.47473487
189,224,0.9843969
193,314,0.8400347
193,315,0.42949617
193,316,0.3088764
193,317,0.43231374
193,318,0.31123045
194,288,0.47879252
194,289,0.64836144
194,292,0.7524823
194,293,0.96063644
194,294,0.98671335
194,297,0.59895825
195,300,0.651661
195,302,0.7517283
195,303,0.96072143
195,304,0.97321755
195,305,0.5906452
195,306,0.58243257
195,307,0.8684571
195,308,0.70404255
196,229,0.5742523
196,231,0.6611896
196,232,0.8340083
196,233,0.9457021
196,234,0.9966633
196,266,0.12950848
196,267,0.12491727
197,198,0.9999867
199,200,0.6190716
199,201,0.19275378
199,203,0.26529235
199,205,0.41998616
199,208,0.7883241
199,210,0.9956222
200,201,0.7048718
200,203,0.8091315
200,205,0.94416153
200,208,0.95892847
200,254,0.3240264
201,226,0.30441937
201,227,0.29565385
201,254,0.80090946
202,204,0.9519115
202,206,0.82110167
202,207,0.64121175
202,209,0.30530044
202,319,0.26317054
203,226,0.2251658
203,227,0.217924
203,254,0.69630665
204,206,0.9519232
204,207,0.82061815
204,209,0.471366
204,319,0.41843146
205,226,0.12508652
205,227,0.12035397
205,254,0.50848156
206,207,0.95163095
206,209,0.6594035
206,319,0.60281986
207,209,0.8364361
207,319,0.7874953
208,254,0.20115766
209,319,0.9956331
211,213,0.9309618
211,214,0.25937462
212,213,0.19838452
213,214,0.44950524
214,216,0.40787408
214,253,0.5368744
216,246,0.10794236
217,226,0.5804931
217,227,0.56910396
217,254,0.26214704
218,219,0.5385591
218,220,0.78747404
218,222,0.614358
218,247,0.13592586
218,248,0.12891619
220,221,0.10931033
220,222,0.9571866
220,224,0.18949403
220,247,0.42468664
220,248,0.14738664
221,248,0.15042892
222,224,0.31111905
222,247,0.59869766
222,248,0.25169095
225,249,0.86906916
226,227,0.99982274
226,313,0.3800078
227,313,0.39002344
228,237,0.45587265
229,265,0.5386293
229,266,0.6254643
229,267,0.61468965
229,269,0.17835072
229,270,0.15269463
230,257,0.123519845
230,321,0.5719137
230,322,0.8106929
230,323,0.64824355
230,324,0.25718334
231,265,0.45431113
231,266,0.5385825
231,267,0.52793086
231,269,0.13517424
231,270,0.11437601
232,265,0.2946632
232,266,0.36505976
232,267,0.3559074
233,265,0.1867137
233,266,0.2404248
233,267,0.23328014
234,265,0.114060014
234,266,0.15227872
234,267,0.14709389
235,236,0.9586568
235,257,0.20810594
235,314,0.10862915
235,324,0.38872817
236,257,0.11921647
236,324,0.24993111
237,312,0.52988964
239,286,0.93199
239,290,0.8968199
239,293,0.23806968
239,294,0.45940426
239,295,0.49953932
239,296,0.67870915
239,298,0.96835506
241,242,0.8544007
241,243,0.21935369
241,244,0.22129975
241,245,0.99999917
241,256,0.8569946
242,243,0.49735653
242,244,0.5003442
242,256,0.9999853
243,244,0.9999871
243,314,0.14998338
244,314,0.14850514
245,256,0.8576079
257,310,0.88359267
257,324,0.92416257
258,259,0.9572419
258,260,0.8808842
258,264,0.68211454
258,268,0.49673668
259,260,0.9785977
259,264,0.8456372
259,268,0.674574
260,264,0.9334857
260,268,0.79395115
261,264,0.9099066
261,268,0.99206173
262,263,0.9417121
262,264,0.7449394
262,268,0.8999714
263,264,0.53769326
263,268,0.7228204
264,268,0.95360196
265,269,0.7573913
265,270,0.71018267
265,271,0.46555167
265,272,0.33956146
265,273,0.17925796
266,267,0.99984205
266,269,0.673966
266,270,0.62461215
266,271,0.38620627
266,272,0.27245894
266,273,0.13614872
267,269,0.6845837
267,270,0.63537586
267,271,0.39575058
267,272,0.28033707
267,273,0.14105666
269,270,0.9966569
269,271,0.8864122
269,272,0.7692899
269,273,0.5408771
270,271,0.9196758
270,272,0.8135378
270,273,0.59029
271,272,0.97317326
271,273,0.8263717
272,273,0.9287872
274,275,0.957087
274,276,0.2593247
274,277,0.10385765
274,278,0.80377996
274,279,0.6819048
274,281,0.42429593
275,276,0.40376502
275,277,0.18670031
275,278,0.9356347
275,279,0.84573287
275,281,0.59848446
275,285,0.13019514
276,277,0.8889175
276,283,0.36277577
276,284,0.5710872
276,285,0.7966636
277,280,0.1252859
277,283,0.64361984
277,284,0.8484969
277,285,0.9823001
278,279,0.977348
278,281,0.81036454
278,284,0.1251463
278,285,0.2544442
279,281,0.909953
279,284,0.18925114
279,285,0.35439026
280,322,0.2156731
280,323,0.12616606
281,283,0.2139512
281,284,0.38025567
281,285,0.60267776
283,284,0.9353811
283,285,0.754962
284,285,0.928829
286,289,0.14424576
286,290,0.99583095
286,292,0.20110139
286,293,0.41828048
286,294,0.6829302
286,295,0.7236619
286,296,0.8802422
286,297,0.12245761
288,291,0.5884907
289,291,0.42264783
289,292,0.9844922
289,293,0.810857
289,294,0.5493921
289,297,0.9966791
290,292,0.23588614
290,293,0.46996653
290,294,0.736578
290,295,0.77562124
290,296,0.91799223
290,297,0.14706014
292,293,0.89511377
292,294,0.6563462
292,297,0.9671745
293,294,0.90493846
293,297,0.7665867
294,297,0.50080425
295,297,0.4604119
296,297,0.3034665
299,300,0.95170116
299,302,0.8892038
299,303,0.63258594
299,304,0.33954194
299,305,0.9773725
299,307,0.20956416
299,308,0.11627673
300,302,0.9856598
300,303,0.8135786
300,304,0.5111632
300,305,0.994942
300,306,0.14500128
300,307,0.34618512
300,308,0.21130574
301,302,0.3333344
301,303,0.14801857
301,305,0.47997338
301,309,0.87070185
302,303,0.89442146
302,304,0.61348146
302,305,0.9640315
302,306,0.19958581
302,307,0.4370482
302,308,0.28103623
303,304,0.8752874
303,305,0.75875777
303,306,0.41685763
303,307,0.71787465
303,308,0.5335783
304,306,0.7213864
304,307,0.9565428
304,308,0.8321596
305,306,0.11835442
305,307,0.29742393
305,308,0.17602003
307,308,0.9536479
314,315,0.777024
314,316,0.6410228
314,317,0.77980036
314,318,0.644021
315,316,0.973049
315,317,0.9999873
315,318,0.9741661
316,318,0.9999877
317,318,0.9730401
321,323,0.99208623
321,324,0.8394919
322,323,0.9605087
322,324,0.6060658
323,324,0.7730252
